*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.
Birleşik Krallık'ta beslenen çok sayıda geyik ve tilki tazısı, çayır tazısı, beagle ve diğer tazı sürüsü, yalnızca vatandaşlarımız için muazzam miktarda spor sağlamanın bir yolu olmakla kalmıyor, aynı zamanda, doğrudan ve dolaylı olarak, özellikle avcılar ve avcılar için uygun olan atlarımızın ırkında gerçekleştirilen büyük iyileştirmelerin de nedenidir ve dolayısıyla, ülkemizde her yıl, özellikle çiftçiler, değirmenciler, eyerciler, saman ve tahıl tüccarları, eğitmenler, bakıcılar, kulübeciler, seyisler, yardımcılar ve avcılık ve çevresiyle az çok bağlantılı çok sayıda başka kişi arasında büyük miktarda paranın dolaşımının da nedenidir. Aynı konunun başka bir dalını ele almak için, ülkenin bazı bölgelerinde yalnızca önemli ulusal etkinliklerdeki yarışmalar için değil, aynı zamanda köpekleriyle ara sıra denemeler yapmayı hobi haline getiren özel sahipler için bile tutulan çok sayıda yüksek sınıf tazının yetiştirilmesi, büyütülmesi ve eğitilmesiyle ilgilenen ve bu işle uğraşan çok sayıda insan olduğunu düşünün. Öte yandan, krallığın her yerinde, geyik tazılarına, pointer'lara, setter'lara, retriever'lara ve spaniel'lere bakmak ve bazı durumlarda onları yetiştirmek ve eğitmek için tutulan büyük bir bekçi, kulübeci ve gilly ordusu, geyik avcılığından kara horoz, keklik, sülün vb. avlamaya kadar her türlü av arasında gerçek bir sporcunun günlük işine çok şey katar (günümüzde birçok kişi günlerin veya haftaların "avlanma"sının büyük bir kısmını elde etme ilkesine göre hareket ediyor ve köpeklerin "çalışmasını" görmenin gerçek zevkini pek umursamıyor ve eğitimlerine ayrılan özen ve ilgiye değer veriyor veya başka türlü davranıyor), iş buluyor ve ben onları, kural olarak, oldukça saygın bir insan sınıfı olarak buldum, genellikle aynı ailenin nesilleri tek bir ailenin hizmetinde oluyor ve en çok da efendinin, köpeklerinin itibarını kıskanıyorlar, ve
kapsar.

Diğer yardımcı köpeklerimizden bazılarını ele almak gerekirse, büyük bir kasaba veya şehrin sığır pazarını ziyaret etmiş olan okuyucularım, oradaki profesyonel çobanlara hizmet eden köpekleri fark etmemiş olamazlar,
çoğu vicdanen yeterince kaba görünümlüdür, ancak
zeka açısından, neden, bununla doludurlar ve açık alanda veya yolda sığırlar ve koyunlarla harikalar yaratmaya istekli ve yeteneklidirler,
kendilerine söylenen birkaç kelimeyi anlarlar ve emirlerini yerine getirmeye isteklidirler ve bazen aşırı şevk yüzünden hata yapsalar da, bunun tersi nadiren olur ve (hayvanlara olan sevgimi bilen birçok adamla tanıştığım ve konuştuğum ve kaç tane hayvan yetiştirdiğimi ve sahiplendiğimi bildiğim için) şunu söylemekten memnuniyet duyuyorum ki,
onların büyük bir kısmı köpeklerine değer veriyor ve hizmetlerini o kadar takdir ediyor ki, gerçekten büyük teklifler olarak kabul edilebilecek şeyler bile onlar tarafından sıklıkla reddedilmiştir. İçlerinden biri bana, "Bess için on poundluk bir banknot almamın ne faydası var, efendim, onsuz hiçbir şey yapamam ve onun gibi hayvanlarla başa çıkmayı öğrenmem biraz zaman alır, ve onun böyle bir 'dost' ve karım olması bir yana, o kesinlikle Bess'i çok seviyor, efendim." dedi.

Kuşkusuz, birçok köpek çeşidi, krallık ve kıta genelindeki müzik salonlarının büyük artışının ortaya çıkardığı, çok sayıda ve oldukça yetenekli gösteri köpeği topluluğunun hizmetine sokulmuştur. Farklı zamanlarda Büyük Danimarkalılar, İskoç Geyik Tazıları, Dalmaçyalılar, Kanişler ve Terrier ve Spaniel ailelerinin birçok üyesini ve şüphesiz melez köpekleri, ayrıca ara sıra Tazılar ve Collie'leri bu eğlencelere katılırken gördüm, ancak bunlar, sanırım, yalnızca bir tür engel yarışı düzenlendiğinde, atlama yarışmalarına katılıyorlardı. Bunlar, sahiplerinin geçimini sağlamalarına yardımcı oldukları için "fayda köpekleri" kategorisine girerler ve aynı şey, çok sayıda olan ve çaresiz sahipleri için değerli oldukları gerekçesiyle vergiden muaf olan kör adamların köpekleri için de söylenebilir. Bir diğer ilginç yardımcı köpek sınıfı, birçok tren istasyonumuzda ve diğer kamusal alanlarda gördüğümüz, çenelerinin altında küçük bir kutu asılı duran ve hayırseverlerin "Demiryolu Hizmetçileri Yardımseverlik Derneği"ne veya başka bir hayır kurumuna bağışlamak istedikleri bağışların konulabileceği köpeklerdir ve hayvanların yolculara doğru koşuşlarından, fark edilmek için sabırla beklemelerinden, bir madeni para bulunup kutularına konana kadar, neler olup bittiğini bildikleri ve günün sonunda "iyi bir taşıma"nın itibarının bir ölçüde toplama kutusunu taşıyan kişiye yansıyacağı fikri oluşur! Gazetelerde, tek bir köpeğin, bu şekilde, iyi bir amaç için, büyük meblağlar toplamanın bir aracı olarak kullanıldığını görmek beni sık sık şaşırttı ve bildiğim kadarıyla, 1898-9 yıllarında "Galler Prensi Hastane Fonu" veya diğer hayırsever amaçlar için çok çalışan köpekler olmuş olabilir! Köpeklerin eskiden "Turnspit" olarak, bir başkasının da yük hayvanı olarak kullanıldığı bir kullanım, artık yasalarca izin verilmediğini söylemekten mutluluk duyuyorum. Çocukken, onları Batı İngiltere'de ikinci görevde çalışırken sık sık gördüm, genellikle iki tekerlekli küçük arabaları çekerken, sadece normal pazar stokları ve ticaret araçları değil, bazen de en üstte oturan iri yarı bir erkek veya kadın şeklindeki sahibi ve sık sık benzer araçların sahipleriyle kırsal yollarda yarışırken, genellikle her birinde iki veya üç köpek, birlikte koşulmuş şekilde, alayların gürültüsü ve heyecanı çok büyüktü ve yaklaşmalarını daha görünmeden çok önce duyuruyordu. Her iki köpek istismarının da burada ortadan kalkmış olmasından çok memnunum, ancak yük hayvanları olarak Avrupa kıtasında hala yaygın olarak kullanılıyorlar ve söylemeliyim ki, onlara kötü davranıldığını, kötü beslendiğini veya ihmal edildiğini görmedim. Elbette, Arktik bölgelerde köpeklerin taşıyıcı olarak gerçek ihtiyaçlar olduğunu ve her koşulda yeterince zor ve tehlikeli olan hareketin, çok sayıda gördüğüm ve birçoğunu ellediğim Eskimo köpeklerinin yardımı olmadan imkansız olacağını biliyoruz. Yoğun çift katlı bir tüyleri vardır, ifadeleri ve baş şekilleri kurtlara çok benzer, küçük, sivri kulakları, eğik, kurnazca bakan gözleri, oldukça uzun, kemerli boyunları ve karakteristik kıvrımlı ve taşımalı kuyrukları vardır. Onları çok sosyal bulmuyorum, ancak iyi tanıdıkları kişilerle iyi geçineceklerini söyleyebilirim. Sanırım onlar, sahipleri tarafından asla "çok fazla önemsenmemiş" (özellikle kendi memleketlerinde) bir türdür, ancak genellikle halk arasında "yarım peniden daha fazla tekme" olarak bilinen şeyi alırlar ve "görev dışında" olduklarında, genellikle kısa ortak alanlara gitmek veya kendi hesaplarına biraz yalvarmak zorunda kalırlar ve kendi kaynaklarıyla bırakıldıklarında, (ölümsüz "Bay Weller, Senr."in iyi bilinen oğlu "Sam!" vakasında kanıtlandığı gibi) zekalarını keskinleştirme eğilimindedirler ve bu, yabancıların ilgisinden her zaman çok şüphelenen Eskimo köpekleri için de geçerlidir, ne kadar iyi niyetli olurlarsa olsunlar. BÖLÜM II

SPORDA KULLANILAN KÖPEKLER

STAGHOUND'LAR--TİLKİ AVCILARI--HARRIE'LER--BEAGLE'LAR

[İllüstrasyon: STAGHOUND "RUBY" ROYAL KENNEL ASCOT. HER MAJESTY QUEEN
VICTORIA SAHİBİ.]

_The Staghound. _--Bu, benden uzun bir tez gerektirecek bir tazı değil. İngiltere'de geyik avlayan çok az sürü var ve _vahşi_ geyiği avlayan sürü daha da az; bunların genellikle eskiden "Güney Tazıları" olarak adlandırılanlarla aynı olduğu varsayılır ve eskiden çorak ve orman olan geniş araziler yavaş yavaş ekilirken, geyik avı için en uygun yerler ortadan kalktı. "Dil"leriyle ünlendiler ve
geyiklerin kıvrımlarını takip ederken bolca müzik yaptılar, ancak orta derecede hızlı tazılar bile değillerdi ve hiçbir çok hızlı tazının müzik yapamayacağı bir gerçektir. Spor için her zaman harika bir ülke olan Devon, uzun yıllardır, diğerlerinin yanı sıra bir Staghound sürüsü beslemiştir, "Nimrod"un belirttiği gibi "o bölgedeki gidişat dünyanın en kötüsü olsa da, Devon'da İngiltere'deki herhangi üç ilçeden daha fazla tazı besleniyor. 1849'da Devon, sekiz yerleşik Foxhound sürüsüne, üç başka tazıya, Staghound'lara ve abonelikle tutulan birçok 'Mahalle Sürüsü'ne sahipti." Staghound'ların genel koşusu, hem şekil, hem stil hem de renk olarak büyük Foxhound'lara benzer ve genellikle bu sürüler için çok büyük olan Foxhound'lardan gelen taslaklardan oluştuğu varsayılır. Modern Staghound yaklaşık 24 inç veya daha fazla yüksekliktedir; Renk, şekil veya kulübe benzerliği açısından, birinci sınıf Foxhound ve Harrier sürülerinde gördüğünüz gibi nadiren bu kadar aynı seviyededirler. Royal Buckhound'lar bir istisnadır; sağlam bir durumda tutulurlar ve krallıktaki en iyi eşleşen sürüdürler, mavi benek hariç, "Harrier melezi"nin göstergesi olduğu düşünülen her işaret dahil olmak üzere, hakim tazı renklerinin. Çeşitli renklerin burada belirtilmesi gerekmez ve nadiren gösterilen bir cinste, mükemmellik noktalarını daha ayrıntılı olarak belirtmek gerekmez, çünkü avlanan av genellikle bir yarış atı kadar iyi durumdadır ve neredeyse aynı hızdadır, genellikle daha önce benzer bir durumda olmuştur, ülkeyi iyi bilir ve takipçilerine kaba bir şekilde "paralarının karşılığını verir!" denilen şeyi verir. Yine de, kabul edilmelidir ki, orta çağdaki tüm ulusların sürülerinin aksine, zamanımızın Staghound'ları iyi disiplinli ve istikrarlıdır ve geyik, Kraliçe Elizabeth'in saltanatında bile, sık sık "İyi Kraliçe Bess!" olarak tanımlanan (ancak hayranları arasında olmadığımı söylemek zorundayım) olduğundan daha adil bir şekilde avlanmaktadır.

[İllüstrasyon: FOXHOUND "NIŞANCI" PYTCHLEY HUNT.]

_Tilki Tazısı._--Bu iyi bilinen ve oldukça popüler türün tarihine çok derinlemesine girmeyi veya hakkında çok fazla görüş ayrılığı olan varsayılan kökenine girmeyi önermiyorum. Birleşik Krallık'taki çok sayıda Foxhound sürüsünü hatırladığımızda, bunların ya özel girişimle (örneğin, uzun yıllar boyunca, Batı İngiltere'de, haftada dört ve beş gün, av sezonları boyunca, geniş bir alanda spor sağlama yükünü taşıyan, daha sonraki yıllarda, oğlu, şimdiki Dük tarafından bu çabalarında yetenekli bir şekilde desteklenen, merhum Beaufort Dükü K. G.'ninki gibi) ya da abonelikle desteklendiğini gördüğümüzde, bu köpek cinsinin ülkemizdeki sporcuların birbirleriyle iletişimini sağlamak için çok şey yaptığını, çok sayıda yöne büyük miktarda paranın dolaşımını sağladığını ve Birleşik Krallık'ın çok yüksek bir üne sahip olduğu Avcılar ve Coverhack'lerin yetiştirilmesinde çok önemli bir etkiye sahip olduğunu fark etmemek mümkün değildir. Avcılık konusunda en yüksek otoritelerden biri olarak kabul edilen Beckford şöyle diyor: "İyi bir Başbakan oluşturmak için hangi şartların gerekli olduğunu açıklamayı kendime görev edinmeden, mükemmel bir Avcı oluşturmak için esasen gerekli olanlardan bazılarını açıklayacağım; daha parlak durumları bile utandırmayacak nitelikler olduğunu söylemeye cesaret edeceğim, örneğin berrak kafa, iyi gözlem, çabuk kavrama, yılmaz cesaret, yapı gücü, vücut etkinliği, iyi bir kulak ve melodik bir ses." Foxhound'dan bahsederken, "Eğer mükemmel simetriye sahip değilse, ne hızlı koşar ne de çok fazla iş yapar" der ve onu şu şekilde tanımlar:--"Bacakları ok gibi düz, ayakları yuvarlak ve çok büyük olmasın; göğsü derin ve sırtı geniş; başı küçük, boynu ince; kuyruğu kalın ve çalı gibi olsun; eğer iyi taşıyorsa, o kadar iyi. Dirseklerinden dışarı çıkmış veya dizden ayağa kadar zayıf olan bu tür genç tazılar asla sürüye alınmamalıdır. Bir tazı hakkında gerekli noktalardan biri olarak "küçük kafa"dan bahsettiğimi görüyorum, bunu sadece güzellik açısından anlayacaksınız, çünkü iyiliğe gelince, büyük başlı tazıların hiçbir şekilde aşağı olmadığına inanıyorum. Renk açısından, çok fazla zevk çeşitliliği vardır; çoğu zaman baş ve kulaklar parlak kırmızı veya soluk, beyaz ağız ve dudaklara sahiptir ve teknik olarak "alev" olarak bilinen beyaz bir çizgi, başın aşağısında, beyaz bir yaka ve göğüs, lekeler halinde az çok siyah işaretler veya vücutta bir eyer ve kuyruğun bir kısmı, beyaz bacaklar ve göbek. Baştaki zengin renk hoş bir etkiye sahiptir ve yanaklar bronzlaşmışsa ve daha önce bahsedilen beyaz "alev" varsa, başa hafif bir karakter verir veya turuncu siyah işaretlerle ve altında karışırsa, bu "gerçek tazı renginin neredeyse mükemmel bir kombinasyonunu" oluşturur. Bu ilginç cins hakkındaki birkaç yorumumu, istenen noktaların aşağıdaki açıklamasıyla uygun bir şekilde sonlandırabilirim: Baş, hafif, havadar, mantıklı ve aynı zamanda onurlu olmalıdır; belirli miktarda pirzola ve alnı hafifçe kırışmış olmalıdır. Boyun uzun ve temiz olmalıdır; en ufak bir gevşeklik veya boğazlılık, görünüm için ölümcüldür. Başla birleştiği yerde, omuzlara doğru kademeli olarak genişleyerek iyi olmalıdır. Uzun bir boyun, kokuya yardımcı olması açısından cinste en önemli unsurdur, oysa kısa bir boyun, sadece hareketi değil, aynı zamanda _tempoyu_ da engeller. Kulaklar, başın yanlarına yakın ve alçakta olmalıdır. Omuzlar, uzun ve zarifçe eğimlidir. Göğüs derin ve çok dar değildir. Dirsekler, vücutla aynı hizada olacak şekilde iyi bir şekilde aşağı indirilmiştir. Ön bacaklar, dirseklerden ayaklara kadar kemikleri güçlü, "ok gibi düz", kasla iyi bir şekilde kaplanmıştır. Ayak bilekleri veya pasternler, ne içe ne de dışa dönmemeli, ne de geriye doğru durmalı ve güçlü ve büyük olmalıdır. Ayaklardaki "dışa dönme" eğiliminin en az olması, dayanıklılık ve tempo için en yıkıcı olanıdır, düz çizgiden herhangi bir sapma varsa, _içeri_ dönmeleri gerekir. Şekil olarak, düz veya etli değil, yuvarlak olmalıdırlar. Parmaklar arasındaki bölmeler belirgin olmalıdır. Tabanlar, sıkı, sert ve çok dayanıklı. Sırt düz, geniş ve kaslı olmalıdır. Bel güçlü, kare ve geniş, derin, düz olmayan arka kaburgalarla. Arka kısımlar çok güçlü ve kaslıdır, arkadan geniş görünür, uzun ve büyüktür. Düz topuklar, içeriden ziyade dışarıdadır, topuktan bile güçlü, kısa kemiklidir. Kıç, neşeyle taşınmalı, ince bir noktada sonlanmalı, az tüylü, ancak aslında pürüzsüz değil, kökte güçlü, uçlara doğru kademeli olarak incelir. Siyah, beyaz ve tazı rengi, belki de en iyi renktir. Siyah çok belirgin olduğunda ve bronz işaretler hafif olduğunda, tazıların "siyah ve beyaz" olduğu söylenir. Renkler karıştırıldığında, "benekli" oldukları söylenir. Tavşan, porsuk, kırmızı, tazı ve sarı turtalar, bu değer sırasına göre en iyileridir. Tüyler sık, fakat pürüzsüz ve parlak olmalıdır. İyi biçimli tilki tazısı, orantılı yapısı nedeniyle, gerçekte olduğundan çok daha küçük görünüyor. Dikkatlice ve dikkatlice incelendiğinde, yapması gereken iş için güzelliği ve uygunluğu ve sıklıkla ihtiyaç duyduğu muazzam hız, güç, cesaret ve dayanıklılık, dikkatli bir izleyici tarafından tam olarak takdir edilecektir, "Sporcular" arasında kesin olarak sınıflandırılamasa bile.

[İllüstrasyon: HARRIER "TRAVELLER" ALDENHAM KÖPEKLERİ.]

_Harrier._--Bu satırları yazarken, önümde istatistikler yok, ancak ülkede eskiden olduğu kadar çok Harrier sürüsü olmadığı izlenimine kesinlikle sahibim. "Mirasçılar" veya Harrier adının, Kral V. Henry zamanında tavşan avlamak için kullanılan tazılara verildiği biliniyor, ancak ayrıca, bazen geyik avlamak için de kullanılıyorlardı! Bundan önce, aynı tazı Brachetis veya Bercelettus olarak biliniyordu, "Brache" kelimesinin küçültülmüş hali. Cins, az çok kaba bir biçimde, şüphesiz "çağlar" boyunca var olmuştur ve birçok kişi, tilki tazılarının ondan türemiş olmasının, bunun tam tersi olmasından daha olası olduğunu düşünmektedir. Harrier'larda da, daha büyük ve daha çok sayıda yoldaşında olduğu gibi aynı renkler bulunur, ancak genellikle, açıklanmayan bir nedenle, daha fazla "alaca" (özellikle tavşan-alaca, sarı ve beyaz, sırtta veya eyerde siyah veya gri gölgeli) ve genellikle "mavi benek" olarak adlandırılan benekli veya çil türünün Harrier kanına özgü olduğu ve herhangi bir _diğer_ tazı arasında göründüğünde, bir yerde "Harrier kanı" melezi gösterdiği düşünülmektedir! Bu renk genellikle başında tazı rengi izler ve vücudunda siyah lekelerle birlikte görülür, ancak ikincisi örneğin güzelliğine katkıda bulunmaz. Koku ve çalışma nitelikleri açısından yenilmesi çok zor olan Gal Harrier sürülerinin bazıları o kadar çok yönlüdür ki, gençken ondan ayrılmadıkları sürece "tüylü bir deriye sahip her şeyi avlayacakları" söylenir ve Prenslikte, tilki avı başlayana kadar, "Yeşil Paltolar" "Pembe" ile değiştirilene ve Reynard'ın peşine düşene kadar, düzenli olarak tavşan avlayan bir sürüden bahsedildiğini duydum! Harrier'ın boyu bir zevk meselesidir. "Stonehenge" onu yirmi inçin altına koyar; muhtemelen ortalama yaklaşık on sekiz inçtir. Dorsetshire'da tanınmış bir sporcu, 1871'de, Blandford yakınlarındaki Chettle'dan merhum Bay T. B. Evans'a ait sürüden bahseder. Bu sürünün _şimdiye kadar gördüğü en iyi sürü_ olduğunu düşünür ve Baylar Wicksted, Hurrell, Boughley ve Sir Vincent Corbet'in sürülerinin kanını taşıyan, on beş buçuk inçlik dişilerden oluşur. "Bu sürünün eğitimi
harika; tavşanlar sık ​​sık kulübede beslenmeye bırakılıyor ve
bazen, bana söylendiğine göre, sürünün herhangi bir namussuzuyla birlikte, onları taciz etmekten utandırmak için! Bu tazılarla avlandım ve
onların sanatının en büyük ustası tarafından
tutulduğunu görmenin büyük zevkini yaşadım. Bu tazıların, Pointer'ların kümes hayvanı bahçesinden geçmesi gibi, tavşanların yanından geçtiğini gördüm. Soğuk bir kokuyu alırken, bir yelpaze gibi yayıldıklarını, değerli efendinin koçanının üzerinde sessizce oturduğunu ve onu bulduklarında, "Çan Sesleri" gibi seslerle ve bir güvercin sürüsü kadar yakın bir şekilde
uzaklaştıklarını gördüm! Tavşanın tüm çiftleşmelerini nasıl takip ettiklerini ve gerçek Harrier içgüdüsüyle, şaşkınlık içindeyken asla geri çekildiklerini, asla
"gevezelik etmediklerini", diğer lekeler üzerinde kafa yoruyorlardı, ama, çizgiyi
sürdürerek, oyunlarını, hatta bazen kırk beş dakikalık bir patlamadan sonra,
aşağı çekene kadar. Günümüzde birçok sporcu Harrier'ların işlerini düzgün yapamayacak kadar hızlı hale geldiğinden ve bunun Foxhound'larla yapılan melezlemelerden kaynaklandığından şikayet ediyor. Orijinal çeşidin, hızdan ziyade büyük koku alma yetenekleri ve avlanma kaliteleriyle dikkat çeken eski "Southern Hound"a dayandığı düşünülüyor.

[İllüstrasyon: BEAGLE (BÜYÜK) CH. "RINGWOOD" F. WARDE SAHİBİ. BEAGLE (CEP) "KÜÇÜK 'UN" F. B. LORD SAHİBİ.]

_Beagle'lar._--Bu, her yıl popülerlik kazanan bir başka türdür ve aslında iki çeşidi olan, kaba ve pürüzsüz, sadece tüylerinin dokusunda farklılık gösteren minyatür bir tazıdır ve bunlar tekrar farklı yüksekliklere ayrılır, on altı inçin altında ve on iki inçin üzerinde, on iki inçin altında ve on inçin üzerinde, bunlara genellikle "Cep Beagle'ları" denir. Kafatası oldukça uzun ve geniş, hafif kubbeli, iyi tanımlanmış "dur"; kısa ve sivrilen ağız; açık burun delikleri ve iri burun; katlanmış ince uzun kulaklar; yumuşak büyük gözler. Gerdan yok, ancak kaslı boyun, boyuta göre oldukça uzun, derin göğüs; kaslı uyluklar; iyi kemikli ve düz ön bacaklar; yuvarlak, kedi benzeri ayaklar; sert yüz neşeyle taşınıyor. Birçok yönden benzedikleri Foxhound'ların normal renkleri, düz, yoğun ve sık tüylüdür. Bunlar oldukça pitoresk küçük yaratıklardır ve onları evcil hayvan ve arkadaş olarak beslediklerini biliyorum, ancak elbette, yalnızca Spor Köpekleri olarak çalışmaları için kullanılmaları gerekiyor, bunların birçoğu ülkenin farklı bölgelerinde tutuluyor ve sürüler halinde avlanıyor, takipçilerinin çoğu yaya ve genellikle bölgelerindeki sporcu kadınlardan bazıları eşlik ediyor, çünkü hızları daha büyük kardeşlerininki kadar aceleci değil. Sık sık seyahat ettikleri bölgelerde hatırı sayılır bir takipçi kitlesi yaratırlar ve "dış sezonda" "formda" kalmak isteyen birçok kriketçi ve diğerleri ("Dr. W. G." ve diğerleri), "eğitimin" hoş bir biçimi olarak Beagle'ların en yakın toplantılarına katılırlar.

BÖLÜM III

SPORDA KULLANILAN KÖPEKLER (_Devam_)

KAN TAVUSLARI--SU SAMURU TAVUSLARI--BÜYÜK DANUE

[İllüstrasyon: KAN TAVUSU, BÖLÜM "NESTOR" MARK BEAUFOY M. P. SAHİBİ.]

Daha alışılmış olan "Spor Köpekleri" terimi yerine yukarıdaki başlığı benimsedim, böylece kesinlikle "Spor Köpekleri" olup olmadıkları konusunda fikir ayrılığı olan ırkları dahil edebildim ve bu bölümde Bloodhound'lar, Otter Hound'lar ve Great Danua'lar hakkında birkaç söz söylemeyi öneriyorum, bunları bu sırayla ele alıyorum.
Okurlarımın çoğu, benim gibi, son otuz yıl içinde Bloodhound'ların çok az ve seyrek olduğu ve bu yakışıklı ve aristokrat görünümlü ırkın en iyi şovlarda bile katılımının düşük olduğu zamanları hatırlayabilir. Bu artık böyle değil, birkaç tanınmış yetiştiricinin girişimciliği ve gayreti sayesinde, bunların en başında Scarborough'lu arkadaşım Bay Edwin Brough geliyor, bilgi ve deneyiminin bir kısmını eski arkadaşım Batı Kensington'lu Bay Edwin Nichols'un ayaklarının dibinde edindi, kendisi Bloodhound, Mastiff ve Newfoundland'ların hem yetiştiricisi hem de sergileyicisi olarak tanıdığım en başarılı kişiydi ve bence bu ırkların bir yargıcı olarak eşsizdi ve tanıştığım en eğlenceli arkadaşlardan biriydi. Herhangi bir Köpek Gösterisinde nadiren karşılaştığımda, ki bu çok sık olurdu, kapsamlı bir sergileyici olduğum günlerde, ama o gece geç saatlere kadar insanlarla ve köpeklerle ilgili eğlenceli hikayeleriyle bana eşlik etti! İlerleyen yaşlar nedeniyle, çok sayıda arkadaşının olduğu ve "Papa-Nichols" unvanıyla çok popüler olduğu toplantılara katılmayı
